freq,indic_ppp,ppp_cat18,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,VI_PPS_EU27_2020_HAB,GDP,AT	129 	128 	128 	125 	126 	124 	123 	121 	123 	121 	119 	117 p
A,VI_PPS_EU27_2020_HAB,GDP,BE	121 	119 	118 	117 	116 	117 	118 	117 	118 	118 	117 p	115 p
A,VI_PPS_EU27_2020_HAB,GDP,BG	48 	49 	51 	52 	53 	55 	57 	60 	62 	63 	66 	68 p
A,VI_PPS_EU27_2020_HAB,GDP,CH	173 	172 	167 	161 	160 	155 	156 	161 	161 	154 p	151 p	: 
A,VI_PPS_EU27_2020_HAB,GDP,CY	80 	81 	86 	88 	89 	91 	89 	92 	95 	97 	99 p	98 p
A,VI_PPS_EU27_2020_HAB,GDP,CZ	88 	89 	89 	92 	93 	95 	96 	92 	90 	91 	91 	92 p
A,VI_PPS_EU27_2020_HAB,GDP,DE	128 	126 	126 	126 	125 	122 	123 	120 	120 p	118 p	116 p	115 p
A,VI_PPS_EU27_2020_HAB,GDP,DK	128 	127 	126 	128 	127 	125 	132 	133 	134 	126 	127 	127 p
A,VI_PPS_EU27_2020_HAB,GDP,EE	78 	77 	78 	80 	82 	84 	85 	85 	83 	80 	79 	79 p
A,VI_PPS_EU27_2020_HAB,GDP,EL	71 	69 	67 	67 	66 	66 	62 	64 	66 	68 p	69 p	68 p
A,VI_PPS_EU27_2020_HAB,GDP,ES	90 	91 	92 	93 	91 	91 	83 	85 	88 	91 p	91 p	92 p
A,VI_PPS_EU27_2020_HAB,GDP,FI	111 	109 	109 	110 	109 	107 	112 	109 	106 	103 	102 	101 p
A,VI_PPS_EU27_2020_HAB,GDP,FR	108 	106 	105 	103 	103 	105 	104 	101 	97 	99 p	98 p	98 p
A,VI_PPS_EU27_2020_HAB,GDP,HR	60 	61 	62 	63 	64 	67 	66 	70 	72 	78 	78 p	78 p
A,VI_PPS_EU27_2020_HAB,GDP,HU	69 	70 	69 	69 	72 	73 	75 	75 	76 	76 	76 p	76 p
A,VI_PPS_EU27_2020_HAB,GDP,IE	141 	185 	178 	187 	192 	190 	205 	225 	237 	218 	221 	237 p
A,VI_PPS_EU27_2020_HAB,GDP,IS	126 	131 	135 	133 	131 	129 	123 	124 	135 	136 	131 	: 
A,VI_PPS_EU27_2020_HAB,GDP,IT	98 	97 	99 	98 	97 	96 	93 	96 	98 	98 	98 	96 p
A,VI_PPS_EU27_2020_HAB,GDP,LT	75 	75 	75 	78 	81 	83 	87 	88 	87 	86 	87 	88 p
A,VI_PPS_EU27_2020_HAB,GDP,LU	280 	279 	276 	266 	258 	249 	256 	263 	250 	248 	245 	239 p
A,VI_PPS_EU27_2020_HAB,GDP,LV	61 	62 	63 	64 	66 	66 	69 	71 	69 	70 	68 	71 p
A,VI_PPS_EU27_2020_HAB,GDP,MT	94 	99 	100 	106 	107 	106 	105 	109 	103 	109 	110 	110 p
A,VI_PPS_EU27_2020_HAB,GDP,NL	133 	132 	130 	130 	130 	128 	131 	132 	134 	131 	134 	134 p
A,VI_PPS_EU27_2020_HAB,GDP,NO	177 	157 	145 	150 	156 	146 	141 	171 	214 	169 	160 	: 
A,VI_PPS_EU27_2020_HAB,GDP,PL	68 	70 	69 	70 	72 	74 	79 	79 	78 	77 	78 	81 p
A,VI_PPS_EU27_2020_HAB,GDP,PT	77 	76 	77 	76 	77 	77 	75 	74 	77 	81 	82 p	81 p
A,VI_PPS_EU27_2020_HAB,GDP,RO	55 	56 	58 	62 	65 	69 	72 	72 	72 	75 	77 p	78 p
A,VI_PPS_EU27_2020_HAB,GDP,SE	125 	126 	123 	119 	117 	117 	120 	120 	113 	111 	111 	110 p
A,VI_PPS_EU27_2020_HAB,GDP,SI	82 	81 	82 	84 	86 	87 	88 	88 	89 	91 	90 	91 p
A,VI_PPS_EU27_2020_HAB,GDP,SK	78 	78 	73 	70 	70 	70 	74 	74 	71 	74 	75 	75 p
A,VI_PPS_EU27_2020_HAB,GDP,UK	111 	111 	108 	108 	106 	104 	102 	100 	103 	99 	99 	: 
