country,year,inflation,GDP_per_capita,annual_net_earnings,unemployment_rate,crec_%_GDP_pc,crec__%_salario,crec_%_desempleo
AT,2000,2.0,123.66666666666667,20525.86,5.5826086956521745,,,
AT,2001,2.3,123.66666666666667,20773.99,5.5826086956521745,0.0,1.21,0.0
AT,2002,1.7,123.66666666666667,21179.51,5.5826086956521745,0.0,1.95,0.0
AT,2003,1.3,123.66666666666667,21956.82,5.7,0.0,3.67,2.1
AT,2004,2.0,123.66666666666667,22004.46,5.7,0.0,0.22,0.0
AT,2005,2.1,123.66666666666667,22783.76,5.7,0.0,3.54,0.0
AT,2006,1.7,123.66666666666667,23391.46,5.7,0.0,2.67,0.0
AT,2007,2.2,123.66666666666667,23970.23,5.7,0.0,2.47,0.0
AT,2008,3.2,123.66666666666667,24492.09,5.7,0.0,2.18,0.0
AT,2009,0.4,123.66666666666667,25427.88,5.7,0.0,3.82,0.0
AT,2010,1.7,123.66666666666667,25770.16,5.2,0.0,1.35,-8.77
AT,2011,3.6,123.66666666666667,26375.67,4.9,0.0,2.35,-5.77
AT,2012,2.6,123.66666666666667,26893.06,5.2,0.0,1.96,6.12
AT,2013,2.1,123.66666666666667,27520.54,5.7,0.0,2.33,9.62
AT,2014,1.5,129.0,27965.34,6.0,4.31,1.62,5.26
AT,2015,0.8,128.0,28524.14,6.1,-0.78,2.0,1.67
AT,2016,1.0,128.0,30601.53,6.5,0.0,7.28,6.56
AT,2017,2.2,125.0,31083.14,5.9,-2.34,1.57,-9.23
AT,2018,2.1,126.0,31640.93,5.2,0.8,1.79,-11.86
AT,2019,1.5,124.0,32325.12,4.8,-1.59,2.16,-7.69
AT,2020,1.4,123.0,33032.37,6.0,-0.81,2.19,25.0
AT,2021,2.8,121.0,33712.2,6.2,-1.63,2.06,3.33
AT,2022,8.6,123.0,36075.61,4.8,1.65,7.01,-22.58
AT,2023,7.7,121.0,38375.91,5.1,-1.63,6.38,6.25
AT,2024,2.9,119.0,41747.41,5.2,-1.65,8.79,1.96
AT,2025,3.6,117.0,41747.41,5.7,-1.68,0.0,9.62
BE,2000,2.7,117.58333333333333,18034.69,7.2565217391304335,,,
BE,2001,2.4,117.58333333333333,18884.08,7.2565217391304335,0.0,4.71,0.0
