freq,currency,estruct,ecase,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,EUR,NET,P1_NCH_AW100,AT	20525.86 	20773.99 	21179.51 	21956.82 	22004.46 	22783.76 	23391.46 	23970.23 	24492.09 	25427.88 	25770.16 	26375.67 	26893.06 	27520.54 	27965.34 	28524.14 	30601.53 	31083.14 	31640.93 	32325.12 	33032.37 	33712.20 	36075.61 	38375.91 	41747.41 
A,EUR,NET,P1_NCH_AW100,BE	18034.69 	18884.08 	19686.29 	20097.88 	20739.41 	21273.34 	21880.46 	22396.96 	23405.30 	24323.59 	24873.45 	25519.86 	26287.51 	26609.37 	26775.94 	26953.59 	27574.37 	28238.77 	29240.96 	30188.71 	30539.81 	31063.95 	32889.21 	35438.98 	36672.38 
A,EUR,NET,P1_NCH_AW100,BG	: 	: 	: 	: 	: 	: 	: 	: 	5096.55 	5772.28 	6263.14 	6642.77 	7037.85 	7428.24 	7889.17 	8486.50 	9170.85 	10038.61 	10653.43 	11916.72 	12933.26 	14583.77 	16759.62 	19343.63 	21658.33 
A,EUR,NET,P1_NCH_AW100,CH	38460.45 	40721.56 	42844.40 	42012.65 	42110.35 	42419.78 	42394.06 	41779.66 	43376.30 	45933.26 	50916.25 	57462.60 	61358.26 	60707.22 	59338.83 	67296.39 	67704.82 	66629.09 	64808.97 	68324.09 	72035.35 	73724.38 	78452.97 	82060.07 	85631.07 
A,EUR,NET,P1_NCH_AW100,CY	: 	: 	: 	: 	: 	15591.75 	16657.98 	17572.13 	: 	: 	: 	: 	: 	: 	19096.46 	: 	: 	19531.22 	20026.89 	20282.76 	20056.80 	20459.03 	22006.36 	23476.75 	24230.00 
A,EUR,NET,P1_NCH_AW100,CZ	3503.73 	3960.76 	4676.61 	4721.51 	4999.03 	5587.37 	6394.53 	6962.34 	8345.91 	8240.09 	8832.96 	9257.22 	9311.44 	8973.79 	8694.95 	9017.25 	9446.75 	10263.30 	11256.33 	11992.68 	11974.40 	13969.74 	15703.05 	17265.60 	17290.99 
A,EUR,NET,P1_NCH_AW100,DE	19538.92 	20406.53 	20871.73 	21067.21 	21992.56 	22363.10 	22504.85 	23194.68 	23841.50 	23870.65 	25374.06 	26088.04 	26729.62 	27171.02 	27791.42 	28410.71 	28986.32 	29468.63 	30419.87 	31486.26 	31292.95 	32850.20 	35596.73 	37908.41 	39594.13 
A,EUR,NET,P1_NCH_AW100,DK	22125.95 	23268.35 	24439.83 	25154.00 	26117.61 	26440.34 	27243.49 	28469.57 	29595.89 	30962.07 	32349.16 	33153.43 	33617.32 	33873.44 	34330.38 	34689.46 	35021.65 	35558.92 	36307.24 	37133.59 	37878.85 	39315.61 	40710.04 	42357.77 	43912.73 
A,EUR,NET,P1_NCH_AW100,EE	3068.14 	3465.43 	3804.81 	4105.69 	4470.88 	5056.23 	6059.12 	7268.34 	8249.98 	7729.45 	7820.19 	8324.26 	8812.65 	9445.70 	9914.95 	10638.42 	11454.71 	12233.44 	13437.69 	14169.60 	14444.62 	15300.44 	16472.09 	18141.98 	19022.58 
A,EUR,NET,P1_NCH_AW100,EL	12120.36 	12441.84 	13516.99 	14856.58 	16167.61 	16572.85 	17630.36 	17790.09 	17897.36 	18510.86 	18567.44 	17545.08 	17117.04 	15810.81 	16070.17 	15601.94 	14979.79 	14863.67 	14850.01 	15112.49 	14247.43 	15407.96 	16819.51 	18022.41 	18709.02 
A,EUR,NET,P1_NCH_AW100,ES	13881.61 	14308.82 	14793.85 	15548.87 	16019.09 	16432.64 	16832.53 	17461.33 	18765.37 	19380.50 	19399.72 	19891.57 	19975.06 	20061.89 	20169.47 	20844.88 	20827.52 	20948.65 	21198.42 	21481.84 	20632.83 	21668.52 	22577.60 	23597.08 	24570.88 
A,EUR,NET,P1_NCH_AW100,FI	17430.51 	18511.05 	19585.21 	20290.01 	21262.64 	22124.75 	23282.87 	24744.36 	26026.18 	27191.47 	27803.54 	28421.92 	29246.92 	29654.15 	29641.38 	29918.29 	30306.38 	30805.85 	31400.22 	32135.14 	33191.98 	33906.14 	35001.16 	36266.13 	36876.61 
A,EUR,NET,P1_NCH_AW100,FR	18923.39 	19510.12 	20169.96 	20612.84 	21131.59 	21709.55 	22675.17 	23415.09 	24249.73 	24627.90 	25031.80 	25576.25 	25978.92 	26269.14 	26578.46 	26958.75 	26880.70 	27022.48 	27662.94 	28153.78 	27472.33 	28649.83 	30241.44 	31573.51 	32353.63 
A,EUR,NET,P1_NCH_AW100,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7937.17 	7970.40 	8296.67 	8443.99 	8788.64 	9168.35 	9428.49 	9815.98 	10382.66 	11224.52 	12601.07 	13809.88 
A,EUR,NET,P1_NCH_AW100,HU	2684.84 	3024.35 	3723.71 	4112.51 	4418.69 	4857.23 	4865.34 	5249.28 	5734.59 	5409.39 	6256.57 	6146.32 	6369.22 	6475.08 	6478.42 	6703.57 	7138.72 	8023.72 	8586.94 	9390.54 	9549.21 	10074.96 	10667.45 	12719.75 	13883.04 
A,EUR,NET,P1_NCH_AW100,IE	20955.60 	24226.45 	25751.62 	26885.98 	28094.38 	29375.79 	30879.33 	32646.18 	34033.21 	32441.06 	32138.69 	31159.23 	31541.73 	31531.28 	31687.39 	32344.52 	33346.95 	33976.58 	35126.52 	38252.20 	38842.71 	39930.32 	41062.91 	43896.82 	46207.80 
A,EUR,NET,P1_NCH_AW100,IS	27860.32 	25313.39 	26541.59 	28076.81 	29732.44 	38019.05 	37806.34 	42383.61 	27556.77 	21683.70 	23506.13 	24971.24 	27158.87 	29098.70 	32941.08 	37027.37 	44042.96 	50456.07 	48794.28 	47254.37 	44185.83 	47374.82 	53001.86 	54539.33 	57573.09 
A,EUR,NET,P1_NCH_AW100,IT	15290.80 	15866.15 	16104.10 	16617.85 	16958.72 	17601.62 	17984.55 	18272.59 	18917.81 	19269.56 	19705.17 	19983.62 	20327.68 	20656.60 	20930.61 	21051.62 	21092.75 	21138.65 	21294.82 	21500.18 	22507.69 	23511.64 	23839.29 	24592.51 	24797.02 
A,EUR,NET,P1_NCH_AW100,LT	2270.40 	2343.04 	2510.39 	2694.34 	2871.84 	3137.20 	3751.73 	4714.12 	5667.32 	5361.47 	5245.02 	5401.30 	5635.73 	5954.89 	6284.47 	6651.85 	7217.25 	7897.69 	8690.66 	9794.92 	10787.57 	11798.21 	13297.64 	14783.41 	15909.06 
A,EUR,NET,P1_NCH_AW100,LU	25591.03 	27493.08 	29222.58 	29859.40 	30419.68 	31176.33 	31969.40 	32727.56 	34156.30 	35539.77 	36167.09 	36278.25 	37354.34 	37792.02 	38443.48 	38630.79 	38935.73 	41340.39 	42063.48 	42650.77 	44374.32 	44934.82 	46884.89 	48797.50 	50409.61 
A,EUR,NET,P1_NCH_AW100,LV	1670.31 	1784.97 	1891.44 	2096.19 	2333.70 	2702.25 	3371.65 	4431.28 	5443.86 	5424.98 	5068.61 	5286.45 	5462.67 	5776.88 	6264.34 	6814.57 	7212.23 	7772.59 	8474.82 	9144.05 	9786.84 	11229.49 	12147.46 	13418.00 	14550.22 
A,EUR,NET,P1_NCH_AW100,MT	: 	: 	: 	: 	: 	11624.50 	11950.15 	12514.21 	13542.87 	13883.84 	14473.93 	15642.97 	15999.95 	16306.00 	16010.00 	16337.95 	16926.20 	17305.15 	17890.15 	19107.19 	19652.90 	18292.50 	19784.81 	20555.05 	22859.04 
A,EUR,NET,P1_NCH_AW100,NL	21176.15 	23516.66 	24412.39 	25207.28 	25562.89 	26118.14 	27543.04 	28361.73 	28976.84 	30291.69 	30901.41 	31612.20 	31732.71 	32992.17 	33723.85 	34551.50 	34975.70 	35426.38 	35838.18 	37402.24 	39142.87 	40660.61 	42311.50 	45156.38 	47892.48 
